España,,,Mexico,,,Guanajuato,,,Leon,,
Dia,Casos,Muertos,Dia_m,Casos_m,Muertos_m,Dia_g,Casos_g,Muertos_g,Dia_l,Casos_l,Muertos_l
1,9,0,1,11,0,1,7,0,1,5,0
2,13,0,2,12,0,2,,,2,,
3,25,0,3,26,0,3,,,3,,
4,33,0,4,41,0,4,,,4,,
5,58,0,5,53,0,5,,,5,,
6,84,0,6,82,0,6,,,6,,
7,120,0,7,93,0,7,,,7,,
8,165,1,8,118,1,8,,,8,,
9,228,2,9,164,1,9,,,9,,
10,282,3,10,203,1,10,,,10,,
11,401,8,11,251,2,11,,,11,,
12,525,10,12,316,2,12,,,12,,
13,674,17,13,367,4,,,,,,
14,1231,30,,,,,,,,,
15,1695,36,,,,,,,,,
16,2277,55,,,,,,,,,
17,3146,86,,,,,,,,,
18,5232,133,,,,,,,,,
19,6391,196,,,,,,,,,
20,7988,294,,,,,,,,,
21,9910,339,,,,,,,,,
